issuer_scope,event_class,relative_day,n_event_units,n_rows,mean_abs_peg_dev_bps,median_abs_peg_dev_bps,mean_peer_adjusted_abs_peg_dev_bps,mean_peg_dev_bps,tail50_rate,market_stress_share,manual_review_event_share,rule_version,rule_status
non_USDC,scheduled,-12,2,2,5.88,5.88,-35.336,4.12,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,-11,2,2,0.0,0.0,-65.697,0.0,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,-10,2,2,0.0,0.0,-75.4,0.0,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,-9,2,2,2.815,2.815,-42.865,-2.815,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,-8,2,2,0.725,0.725,-77.05799999999999,-0.725,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,-7,2,2,7.67,7.67,-11.369,-7.67,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,-6,2,2,0.58,0.58,-12.062000000000001,-0.58,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,-5,2,2,1.385,1.385,-13.075000000000003,-1.385,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,-4,2,2,6.045,6.045,-13.956999999999999,-6.045,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,-3,2,2,4.64,4.64,-8.066,-4.64,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,-2,2,2,5.135000000000001,5.135000000000001,-6.743,-5.135000000000001,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,-1,2,2,3.955,3.955,-7.927,-3.955,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,0,2,2,16.165,16.165,5.7090000000000005,13.835,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,1,2,2,16.38,16.38,-1.665,3.62,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,2,2,2,6.115,6.115,-8.617999999999999,3.885,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,3,2,2,15.0,15.0,-14.534000000000002,15.0,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,4,2,2,10.0,10.0,-12.355999999999998,10.0,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,5,2,2,10.0,10.0,-7.285,10.0,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,6,2,2,5.0,5.0,-33.095,5.0,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,7,2,2,0.22,0.22,-14.081,-0.22,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,8,2,2,9.675,9.675,-7.321999999999999,-9.675,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,9,2,2,0.13999999999999999,0.13999999999999999,-9.559000000000001,-0.13999999999999999,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,10,2,2,3.8000000000000003,3.8000000000000003,-4.275,-3.8000000000000003,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,11,2,2,0.9450000000000001,0.9450000000000001,-12.554,-0.9450000000000001,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,12,2,2,20.67,20.67,-19.612000000000002,19.33,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,13,2,2,3.41,3.41,-1.9649999999999999,-3.41,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
non_USDC,scheduled,14,2,2,5.935,5.935,-31.454999999999995,4.065,0.0,0.0,0.5,RQI_DII_v1.0,frozen_confirmed_by_researcher
