event_unit_id,stablecoin,issuer_scope,event_class,event_date,date,relative_day,record_count,event_families,manual_review_required,market_stress_on_event_date,market_stress_flag,market_stress_types,overlap_risk_7d_window,overlap_risk_14d_window,episode_override_applied,canonical_event_date_basis,episode_merge_rules,price_usd,peg_dev_bps,abs_peg_dev_bps,peer_mean_abs_peg_dev_bps,peer_adjusted_abs_peg_dev_bps,peer_adjusted_peg_dev_bps,tail_depeg_50bp,tail_depeg_100bp,peer_tail50_rate,circulating_face_usd,rule_version,rule_status,provisional_flag,provisional_reason
USDC_ASSURANCE_2023_05,USDC,USDC,scheduled,2023-06-30,2023-07-06,6,1,scheduled_monthly_assurance,1,0,0,normal,0,1,0,publication_date,,1.0,0.0,0.0,4.186,-4.186,0.18599999999999994,0.0,0.0,0.0,27454786106.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2023_05,USDC,USDC,scheduled,2023-06-30,2023-07-07,7,1,scheduled_monthly_assurance,1,0,0,normal,0,1,0,publication_date,,0.99908,-9.200000000000001,9.200000000000001,5.419999999999999,3.780000000000002,-7.780000000000001,0.0,0.0,0.0,27311518780.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2023_05,USDC,USDC,scheduled,2023-06-30,2023-07-08,8,1,scheduled_monthly_assurance,1,0,0,normal,0,1,0,publication_date,,0.99973,-2.7,2.7,4.0,-1.2999999999999998,-6.7,0.0,0.0,0.0,27252572704.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2023_05,USDC,USDC,scheduled,2023-06-30,2023-07-09,9,1,scheduled_monthly_assurance,1,0,0,normal,0,1,0,publication_date,,0.999724,-2.76,2.76,2.96,-0.20000000000000018,0.20000000000000018,0.0,0.0,0.0,27250830533.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2023_05,USDC,USDC,scheduled,2023-06-30,2023-07-10,10,1,scheduled_monthly_assurance,1,0,0,normal,0,1,0,publication_date,,0.999272,-7.28,7.28,17.724,-10.443999999999999,10.443999999999999,0.0,0.0,0.0,27255469177.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2023_05,USDC,USDC,scheduled,2023-06-30,2023-07-11,11,1,scheduled_monthly_assurance,1,0,0,normal,0,1,0,publication_date,,0.999886,-1.1400000000000001,1.1400000000000001,3.912,-2.772,-1.2280000000000002,0.0,0.0,0.0,27148292506.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2023_05,USDC,USDC,scheduled,2023-06-30,2023-07-12,12,1,scheduled_monthly_assurance,1,0,0,normal,0,1,0,publication_date,,0.999001,-9.99,9.99,2.6639999999999997,7.3260000000000005,-11.326,0.0,0.0,0.0,27099847012.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2023_05,USDC,USDC,scheduled,2023-06-30,2023-07-13,13,1,scheduled_monthly_assurance,1,0,0,normal,0,1,0,publication_date,,0.999804,-1.96,1.96,4.068,-2.1079999999999997,-1.892,0.0,0.0,0.0,27027947193.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2023_05,USDC,USDC,scheduled,2023-06-30,2023-07-14,14,1,scheduled_monthly_assurance,1,0,0,normal,0,1,0,publication_date,,1.0,0.0,0.0,6.522,-6.522,-5.478,0.0,0.0,0.0,27194829490.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2023_06,USDC,USDC,scheduled,2023-07-28,2023-07-14,-14,1,scheduled_monthly_assurance,1,0,0,normal,0,1,0,publication_date,,1.0,0.0,0.0,6.522,-6.522,-5.478,0.0,0.0,0.0,27194829490.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2023_06,USDC,USDC,scheduled,2023-07-28,2023-07-15,-13,1,scheduled_monthly_assurance,1,0,0,normal,0,1,0,publication_date,,0.999965,-0.35,0.35,4.0,-3.65,-4.35,0.0,0.0,0.0,27055369862.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2023_06,USDC,USDC,scheduled,2023-07-28,2023-07-16,-12,1,scheduled_monthly_assurance,1,0,0,normal,0,1,0,publication_date,,0.99995,-0.5,0.5,6.0,-5.5,-6.5,0.0,0.0,0.0,27064232983.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2023_06,USDC,USDC,scheduled,2023-07-28,2023-07-17,-11,1,scheduled_monthly_assurance,1,0,0,normal,0,1,0,publication_date,,0.99901,-9.9,9.9,4.57,5.33,-13.33,0.0,0.0,0.0,27084978762.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2023_06,USDC,USDC,scheduled,2023-07-28,2023-07-18,-10,1,scheduled_monthly_assurance,1,0,0,normal,0,1,0,publication_date,,1.0,0.0,0.0,3.436,-3.436,-0.5640000000000001,0.0,0.0,0.0,26855272500.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2023_06,USDC,USDC,scheduled,2023-07-28,2023-07-19,-9,1,scheduled_monthly_assurance,1,0,0,normal,0,1,0,publication_date,,1.001,10.0,10.0,6.0,4.0,4.0,0.0,0.0,0.0,26785782595.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2023_06,USDC,USDC,scheduled,2023-07-28,2023-07-20,-8,1,scheduled_monthly_assurance,1,0,0,normal,0,1,0,publication_date,,0.999915,-0.8500000000000001,0.8500000000000001,2.524,-1.674,1.674,0.0,0.0,0.0,26673580203.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2023_06,USDC,USDC,scheduled,2023-07-28,2023-07-21,-7,1,scheduled_monthly_assurance,1,0,0,normal,0,1,0,publication_date,,1.0,0.0,0.0,4.9,-4.9,4.9,0.0,0.0,0.0,26624236569.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2023_06,USDC,USDC,scheduled,2023-07-28,2023-07-22,-6,1,scheduled_monthly_assurance,1,0,0,normal,0,1,0,publication_date,,0.999841,-1.5899999999999999,1.5899999999999999,2.0,-0.41000000000000014,-3.59,0.0,0.0,0.0,26576077410.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2023_06,USDC,USDC,scheduled,2023-07-28,2023-07-23,-5,1,scheduled_monthly_assurance,1,0,0,normal,0,1,0,publication_date,,1.0,0.0,0.0,3.2260000000000004,-3.2260000000000004,-0.7739999999999998,0.0,0.0,0.0,26568933205.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2023_06,USDC,USDC,scheduled,2023-07-28,2023-07-24,-4,1,scheduled_monthly_assurance,1,0,0,normal,0,1,0,publication_date,,0.999928,-0.72,0.72,2.6919999999999997,-1.9719999999999998,-2.0279999999999996,0.0,0.0,0.0,26561633547.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2023_06,USDC,USDC,scheduled,2023-07-28,2023-07-25,-3,1,scheduled_monthly_assurance,1,0,0,normal,0,1,0,publication_date,,1.0,0.0,0.0,3.9539999999999997,-3.9539999999999997,3.9539999999999997,0.0,0.0,0.0,26439931641.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2023_06,USDC,USDC,scheduled,2023-07-28,2023-07-26,-2,1,scheduled_monthly_assurance,1,0,0,normal,0,1,0,publication_date,,1.0,0.0,0.0,4.448,-4.448,4.448,0.0,0.0,0.0,26363998279.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2023_06,USDC,USDC,scheduled,2023-07-28,2023-07-27,-1,1,scheduled_monthly_assurance,1,0,0,normal,0,1,0,publication_date,,1.0,0.0,0.0,2.8,-2.8,-1.2,0.0,0.0,0.0,26275274778.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2023_06,USDC,USDC,scheduled,2023-07-28,2023-07-28,0,1,scheduled_monthly_assurance,1,0,0,normal,0,1,0,publication_date,,1.0,0.0,0.0,1.122,-1.122,1.122,0.0,0.0,0.0,26293939845.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
USDC_ASSURANCE_2023_06,USDC,USDC,scheduled,2023-07-28,2023-07-29,1,1,scheduled_monthly_assurance,1,0,0,normal,0,1,0,publication_date,,1.0,0.0,0.0,6.0,-6.0,-6.0,0.0,0.0,0.0,26266161188.0,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,multi_issuer_ready_event_extension_source_verification_pending
