event_id,stablecoin,issuer,document_family,rule_version,rule_status,rqi_weight_profile,report_year,report_month,report_dates,latest_report_date,publication_date,publication_lag_days,scheduled_flag,ad_hoc_flag,stress_regime_flag,attestor_or_provider,assurance_basis,total_reserve_assets_usd,treasury_securities_usd,treasury_repo_usd,reserve_fund_cash_usd,bank_cash_usd,cash_total_usd,treasury_share,repo_share,cash_total_share,bank_cash_share,pilot_rqi,disclosure_frequency_score,disclosure_granularity_score,disclosure_timeliness_score,assurance_score,pilot_dii,asset_extraction_confidence,date_extraction_status,manual_review_required,local_file_path,notes
USDC_ASSURANCE_2023_10,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2023,October,2023-10-05;2023-10-31,2023-10-31,,,1,0,normal,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,24720265667,8089725281,14498000000,1004045757,1252660496,2256706253,0.327251,0.586482,0.091290,0.050673,0.9492,0.60,1.00,,1.00,,medium,no_publication_date,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_October.pdf,no_publication_date; auditor_name_not_text_visible
USDC_ASSURANCE_2023_09,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2023,September,2023-09-14;2023-09-29,2023-09-29,2023-10-30,31,1,0,normal,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,25025027673,8995831228,13892000000,1003332419,1247386546,2250718965,0.359473,0.555124,0.089939,0.049846,0.9488,0.60,1.00,0.40,1.00,0.7800,medium,ok,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2023_September.pdf,auditor_name_not_text_visible
USDC_ASSURANCE_2024_04,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2024,April,2024-04-05;2024-04-30,2024-04-30,,,1,0,normal,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,33079391140,10377675993,18732000000,1005142023,3126173077,4131315100,0.313720,0.566274,0.124891,0.094505,0.9420,0.60,1.00,,1.00,,medium,no_publication_date,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_April.pdf,no_publication_date; auditor_name_not_text_visible
USDC_ASSURANCE_2024_08,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2024,August,2024-08-27;2024-08-29;2024-08-30,2024-08-30,,,1,0,normal,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,34718608570,8652208527,21266000000,1004776763,3961910997,4966687760,0.249210,0.612525,0.143055,0.114115,0.9389,0.60,1.00,,1.00,,medium,no_publication_date,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_August.pdf,no_publication_date; auditor_name_not_text_visible
USDC_ASSURANCE_2024_12,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2024,December,2024-12-09;2024-12-31,2024-12-31,,,1,0,normal,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,43921522065,14787448865,21863000000,1006020757,6479363032,7485383789,0.336679,0.497774,0.170426,0.147521,0.9337,0.60,1.00,,1.00,,medium,no_publication_date,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_December.pdf,no_publication_date; auditor_name_not_text_visible
USDC_ASSURANCE_2024_02,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2024,February,2024-02-23;2024-02-29,2024-02-29,,,1,0,normal,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,28733994331,10006134453,14531000000,1003830638,3301872815,4305703453,0.348233,0.505708,0.149847,0.114912,0.9381,0.60,1.00,,1.00,,medium,no_publication_date,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_February.pdf,no_publication_date; auditor_name_not_text_visible
USDC_ASSURANCE_2024_01,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2024,January,2024-01-11;2024-01-31,2024-01-31,2024-02-29,29,1,0,normal,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,26790484649,7391263608,15342000000,1004581261,3261418999,4266000260,0.275891,0.572666,0.159236,0.121738,0.9410,0.60,1.00,0.70,1.00,0.8400,medium,ok,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_January.pdf,auditor_name_not_text_visible
USDC_ASSURANCE_2024_07,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2024,July,2024-07-18;2024-07-31,2024-07-31,2024-08-27,27,1,0,normal,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,33247845322,8884159331,19831000000,1005075675,3728381623,4733457298,0.267210,0.596460,0.142369,0.112139,0.9404,0.60,1.00,0.70,1.00,0.8400,medium,ok,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_July.pdf,auditor_name_not_text_visible
USDC_ASSURANCE_2024_06,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2024,June,2024-06-10;2024-06-28,2024-06-28,,,1,0,normal,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,32274321543,10720566593,17084000000,1004196693,3601833723,4606030416,0.332170,0.529337,0.142715,0.111601,0.9388,0.60,1.00,,1.00,,medium,no_publication_date,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_June.pdf,no_publication_date; auditor_name_not_text_visible
USDC_ASSURANCE_2024_03,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2024,March,2024-03-25;2024-03-29,2024-03-29,,,1,0,normal,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,32425876781,11418153075,15927000000,1005067934,4228498699,5233566633,0.352131,0.491182,0.161401,0.130405,0.9365,0.60,1.00,,1.00,,medium,no_publication_date,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_March.pdf,no_publication_date; auditor_name_not_text_visible
USDC_ASSURANCE_2024_05,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2024,May,2024-05-07;2024-05-31,2024-05-31,,,1,0,normal,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,32340643744,11631009304,16489000000,1004519270,3357248617,4361767887,0.359641,0.509854,0.134870,0.103809,0.9401,0.60,1.00,,1.00,,medium,no_publication_date,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_May.pdf,no_publication_date; auditor_name_not_text_visible
USDC_ASSURANCE_2024_11,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2024,November,2024-11-27;2024-11-29,2024-11-29,2024-12-20,21,1,0,normal,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,39801630749,14801641265,17680000000,1003902987,6505203707,7509106694,0.371885,0.444203,0.188663,0.163441,0.9313,0.60,1.00,0.70,1.00,0.8400,medium,ok,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_November.pdf,auditor_name_not_text_visible
USDC_ASSURANCE_2024_10,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2024,October,2024-10-07;2024-10-31,2024-10-31,,,1,0,normal,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,34737568377,10648250115,18913000000,1004683925,4316618640,5321302565,0.306534,0.544454,0.153186,0.124264,0.9368,0.60,1.00,,1.00,,medium,no_publication_date,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_October.pdf,no_publication_date; auditor_name_not_text_visible
USDC_ASSURANCE_2024_09,USDC,Circle,monthly_assurance,RQI_DII_v1.0,frozen_confirmed_by_researcher,primary_path_b,2024,September,2024-09-20;2024-09-30,2024-09-30,,,1,0,normal,Big Four accounting firm per Circle transparency page; manual PDF-name verification required,AICPA attestation standards,35533322286,8059348784,22556000000,1004993823,4047881285,5052875108,0.226811,0.634784,0.142201,0.113918,0.9379,0.60,1.00,,1.00,,medium,no_publication_date,1,01_raw_sources/issuer_disclosures/USDC/USDC_assurance_2024_September.pdf,no_publication_date; auditor_name_not_text_visible
