date,stablecoin,issuer,gecko_id,defillama_asset_id,price_usd,peg_dev,abs_peg_dev,tail_depeg_50bp,tail_depeg_100bp,downside_depeg_50bp,downside_depeg_100bp,premium_50bp,circulating_face_usd,market_cap_usd_est,active_chains_with_supply,market_stress_flag,market_stress_window_ids,market_stress_types,source_price,source_supply,access_date,rule_version,rule_status,provisional_flag,provisional_reason,latest_disclosure_event_id,latest_disclosure_report_date,latest_disclosure_publication_date,days_since_disclosure,stale_disclosure_45d,report_to_publication_lag_days,pilot_rqi_asof,pilot_dii_asof,disclosure_rule_version_asof,disclosure_rule_status_asof,disclosure_asset_confidence_asof,disclosure_manual_review_required_asof,stress_regime_asof,asof_merge_rule,coding_status
2022-01-25,USDC,Circle,usd-coin,2,1.0009858721,0.0009858721,0.0009858721,0,0,0,0,0,42419394450.00,42461214545.58,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-26,USDC,Circle,usd-coin,2,1.0027546097,0.0027546097,0.0027546097,0,0,0,0,0,42835870097.00,42953866201.40,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-27,USDC,Circle,usd-coin,2,1.000836377,0.000836377,0.000836377,0,0,0,0,0,43319453133.00,43355684529.08,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-28,USDC,Circle,usd-coin,2,1.0025949195,0.0025949195,0.0025949195,0,0,0,0,0,43688077667.00,43801444711.96,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-29,USDC,Circle,usd-coin,2,1.0003506016,0.0003506016,0.0003506016,0,0,0,0,0,43845369287.00,43860741542.50,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-30,USDC,Circle,usd-coin,2,1.0031210946,0.0031210946,0.0031210946,0,0,0,0,0,43973677850.00,44110923858.51,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-01-31,USDC,Circle,usd-coin,2,1.0007130268,0.0007130268,0.0007130268,0,0,0,0,0,43997451192.00,44028822552.60,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-02-01,USDC,Circle,usd-coin,2,1.0010944391,0.0010944391,0.0010944391,0,0,0,0,0,44183771010.00,44232127456.26,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-02-02,USDC,Circle,usd-coin,2,1.0006513882,0.0006513882,0.0006513882,0,0,0,0,0,44414171768.00,44443102634.84,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-02-03,USDC,Circle,usd-coin,2,1.0008908162,0.0008908162,0.0008908162,0,0,0,0,0,44720601228.00,44760439062.35,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
