model_id,model_label,outcome,term,coef,hac_se_lag7,t_stat,p_value,n,r2,adj_r2,interpretation_unit,rule_version,rule_status,provisional_flag,provisional_reason
M5_absdev_stress_interaction,Abs peg deviation with stress interactions,abs_peg_dev_bps,market_stress_flag,-587.4081798171896,201.8205359435671,-2.9105471208412617,0.003706147600875953,826,0.1940773365980445,0.18518848369287577,coefficient for indicator changing from 0 to 1,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M5_absdev_stress_interaction,Abs peg deviation with stress interactions,abs_peg_dev_bps,stress_x_rqi_10pp,4564.694872368214,1568.283384324653,2.910631406283693,0.003705158522042007,826,0.1940773365980445,0.18518848369287577,coefficient per 10 percentage point increase in index,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M5_absdev_stress_interaction,Abs peg deviation with stress interactions,abs_peg_dev_bps,stress_x_dii_10pp,-4934.228712131096,1695.2925019140775,-2.9105471218448042,0.003706147589098041,826,0.1940773365980445,0.18518848369287577,coefficient per 10 percentage point increase in index,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M5_absdev_stress_interaction,Abs peg deviation with stress interactions,abs_peg_dev_bps,days_since_disclosure_30d,-0.4946624878073837,0.4253076725553297,-1.1630697486254058,0.24514120815195883,826,0.1940773365980445,0.18518848369287577,coefficient per 30 days since latest disclosure,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M5_absdev_stress_interaction,Abs peg deviation with stress interactions,abs_peg_dev_bps,stale_disclosure_45d,0.12580344916329828,1.437927045819468,0.08748945193641829,0.930303934279133,826,0.1940773365980445,0.18518848369287577,coefficient for indicator changing from 0 to 1,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M5_absdev_stress_interaction,Abs peg deviation with stress interactions,abs_peg_dev_bps,log_supply,-11.620259935585244,3.306478760495614,-3.5143912232006786,0.0004650320689161269,826,0.1940773365980445,0.18518848369287577,coefficient per one log point of circulating face supply,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M5_absdev_stress_interaction,Abs peg deviation with stress interactions,abs_peg_dev_bps,trend_years,3.1713651749308767,0.7948573954598603,3.989854272030898,7.205871209015058e-05,826,0.1940773365980445,0.18518848369287577,coefficient per calendar year,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M6_absdev_high_confidence,"Abs peg deviation, manual-review-free disclosure rows",abs_peg_dev_bps,Intercept,-42.65164218215821,75.08074560217064,-0.568076966205902,0.5706752830687656,190,0.19298552064431795,0.17105577935747873,,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M6_absdev_high_confidence,"Abs peg deviation, manual-review-free disclosure rows",abs_peg_dev_bps,rqi_10pp,-0.6900620972077891,1.8851165487416985,-0.3660580549613235,0.7147422855926169,190,0.19298552064431795,0.17105577935747873,coefficient per 10 percentage point increase in index,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M6_absdev_high_confidence,"Abs peg deviation, manual-review-free disclosure rows",abs_peg_dev_bps,days_since_disclosure_30d,-0.45885770145929355,0.1995293585478431,-2.2997001784540334,0.02258784133616909,190,0.19298552064431795,0.17105577935747873,coefficient per 30 days since latest disclosure,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M6_absdev_high_confidence,"Abs peg deviation, manual-review-free disclosure rows",abs_peg_dev_bps,market_stress_flag,2.3816356014215314,0.9311397814821677,2.557763773802572,0.011340640047226458,190,0.19298552064431795,0.17105577935747873,coefficient for indicator changing from 0 to 1,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M6_absdev_high_confidence,"Abs peg deviation, manual-review-free disclosure rows",abs_peg_dev_bps,log_supply,1.9769283394411614,2.4814470783903233,0.7966836595699492,0.42666153148837527,190,0.19298552064431795,0.17105577935747873,coefficient per one log point of circulating face supply,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
M6_absdev_high_confidence,"Abs peg deviation, manual-review-free disclosure rows",abs_peg_dev_bps,trend_years,1.4725765012722731,1.2291846533253385,1.198010809269772,0.23245369610169586,190,0.19298552064431795,0.17105577935747873,coefficient per calendar year,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,single_issuer_pilot_pending_multi_issuer_and_market_qc
