event_id,event_date,date,relative_day,in_window_3d,in_window_7d,pre_3d,post_3d,pre_7d,post_7d,event_day,price_usd,peg_dev_bps,abs_peg_dev_bps,tail_depeg_50bp,tail_depeg_100bp,market_stress_flag,market_stress_types,circulating_face_usd,event_pilot_rqi,event_pilot_dii,event_has_rqi,event_has_dii,event_manual_review_required,event_stress_regime_disclosure,overlap_risk_7d_window,overlap_risk_14d_window,classification_status,rule_version,rule_status,provisional_flag,provisional_reason
USDC_ASSURANCE_2023_02,2023-03-30,2023-04-11,12,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,normal,32284733541.0,0.9147,0.84,1,1,1,normal,0,1,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2023_02,2023-03-30,2023-04-12,13,0,0,0,0,0,0,0,0.999611,-3.89,3.89,0.0,0.0,0,normal,32230384840.0,0.9147,0.84,1,1,1,normal,0,1,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2023_02,2023-03-30,2023-04-13,14,0,0,0,0,0,0,0,1.001,10.0,10.0,0.0,0.0,0,normal,31956305488.0,0.9147,0.84,1,1,1,normal,0,1,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2023_03,2023-04-28,2023-04-14,-14,0,0,0,0,0,0,0,1.001,10.0,10.0,0.0,0.0,0,normal,31818784163.0,0.9349,0.84,1,1,1,banking_stress,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2023_03,2023-04-28,2023-04-15,-13,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,normal,31730250194.0,0.9349,0.84,1,1,1,banking_stress,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2023_03,2023-04-28,2023-04-16,-12,0,0,0,0,0,0,0,0.99915,-8.5,8.5,0.0,0.0,0,normal,31719893286.0,0.9349,0.84,1,1,1,banking_stress,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2023_03,2023-04-28,2023-04-17,-11,0,0,0,0,0,0,0,1.001,10.0,10.0,0.0,0.0,0,normal,31712495329.0,0.9349,0.84,1,1,1,banking_stress,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2023_03,2023-04-28,2023-04-18,-10,0,0,0,0,0,0,0,0.999951,-0.49,0.49,0.0,0.0,0,normal,31555277526.0,0.9349,0.84,1,1,1,banking_stress,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2023_03,2023-04-28,2023-04-19,-9,0,0,0,0,0,0,0,0.999028,-9.72,9.72,0.0,0.0,0,normal,31299324778.0,0.9349,0.84,1,1,1,banking_stress,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2023_03,2023-04-28,2023-04-20,-8,0,0,0,0,0,0,0,0.999479,-5.21,5.21,0.0,0.0,0,normal,31064197710.0,0.9349,0.84,1,1,1,banking_stress,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2023_03,2023-04-28,2023-04-21,-7,0,1,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0,normal,30884081501.0,0.9349,0.84,1,1,1,banking_stress,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2023_03,2023-04-28,2023-04-22,-6,0,1,0,0,1,0,0,0.999958,-0.42,0.42,0.0,0.0,0,normal,30664888394.0,0.9349,0.84,1,1,1,banking_stress,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2023_03,2023-04-28,2023-04-23,-5,0,1,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0,normal,30667366228.0,0.9349,0.84,1,1,1,banking_stress,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2023_03,2023-04-28,2023-04-24,-4,0,1,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0,normal,30705390817.0,0.9349,0.84,1,1,1,banking_stress,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2023_03,2023-04-28,2023-04-25,-3,1,1,1,0,1,0,0,0.998292,-17.080000000000002,17.080000000000002,0.0,0.0,0,normal,30617967502.0,0.9349,0.84,1,1,1,banking_stress,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2023_03,2023-04-28,2023-04-26,-2,1,1,1,0,1,0,0,0.998804,-11.96,11.96,0.0,0.0,0,normal,30625258750.0,0.9349,0.84,1,1,1,banking_stress,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2023_03,2023-04-28,2023-04-27,-1,1,1,1,0,1,0,0,0.994814,-51.86,51.86,1.0,0.0,0,normal,30662870800.0,0.9349,0.84,1,1,1,banking_stress,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2023_03,2023-04-28,2023-04-28,0,1,1,0,1,0,1,1,1.002,20.0,20.0,0.0,0.0,0,normal,30386597197.0,0.9349,0.84,1,1,1,banking_stress,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2023_03,2023-04-28,2023-04-29,1,1,1,0,1,0,1,0,1.0,0.0,0.0,0.0,0.0,0,normal,30412015930.0,0.9349,0.84,1,1,1,banking_stress,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2023_03,2023-04-28,2023-04-30,2,1,1,0,1,0,1,0,1.0,0.0,0.0,0.0,0.0,0,normal,30424065351.0,0.9349,0.84,1,1,1,banking_stress,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2023_03,2023-04-28,2023-05-01,3,1,1,0,1,0,1,0,0.999723,-2.77,2.77,0.0,0.0,0,normal,30419648018.0,0.9349,0.84,1,1,1,banking_stress,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2023_03,2023-04-28,2023-05-02,4,0,1,0,0,0,1,0,0.998605,-13.95,13.95,0.0,0.0,0,normal,30291416902.0,0.9349,0.84,1,1,1,banking_stress,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2023_03,2023-04-28,2023-05-03,5,0,1,0,0,0,1,0,1.001,10.0,10.0,0.0,0.0,0,normal,30132733507.0,0.9349,0.84,1,1,1,banking_stress,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2023_03,2023-04-28,2023-05-04,6,0,1,0,0,0,1,0,0.999219,-7.8100000000000005,7.8100000000000005,0.0,0.0,0,normal,30096319366.0,0.9349,0.84,1,1,1,banking_stress,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2023_03,2023-04-28,2023-05-05,7,0,1,0,0,0,1,0,0.99914,-8.6,8.6,0.0,0.0,0,normal,30017224466.0,0.9349,0.84,1,1,1,banking_stress,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2023_03,2023-04-28,2023-05-06,8,0,0,0,0,0,0,0,1.001,10.0,10.0,0.0,0.0,0,normal,30289369213.0,0.9349,0.84,1,1,1,banking_stress,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
USDC_ASSURANCE_2023_03,2023-04-28,2023-05-07,9,0,0,0,0,0,0,0,0.998746,-12.54,12.54,0.0,0.0,0,normal,30291156896.0,0.9349,0.84,1,1,1,banking_stress,0,0,rules_frozen_source_review_required,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,event_classification_and_source_expansion_pending
