date,stablecoin,issuer,gecko_id,defillama_asset_id,price_usd,peg_dev,abs_peg_dev,tail_depeg_50bp,tail_depeg_100bp,downside_depeg_50bp,downside_depeg_100bp,premium_50bp,circulating_face_usd,market_cap_usd_est,active_chains_with_supply,market_stress_flag,market_stress_window_ids,market_stress_types,source_price,source_supply,access_date,rule_version,rule_status,provisional_flag,provisional_reason
2023-04-22,USDP,Paxos,paxos-standard,11,1,0,0,0,0,0,0,0,1048006795.00,1048006795.00,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-04-23,USDP,Paxos,paxos-standard,11,1.001,0.001,0.001,0,0,0,0,0,1048006795.00,1049054801.79,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-04-24,USDP,Paxos,paxos-standard,11,0.996904,-0.003096,0.003096,0,0,0,0,0,1048006795.00,1044762165.96,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-04-25,USDP,Paxos,paxos-standard,11,0.998455,-0.001545,0.001545,0,0,0,0,0,1048006795.00,1046387624.50,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-04-26,USDP,Paxos,paxos-standard,11,0.999011,-0.000989,0.000989,0,0,0,0,0,1041056795.00,1040027189.83,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-04-27,USDP,Paxos,paxos-standard,11,0.9934,-0.0066,0.0066,1,0,1,0,0,1041056795.00,1034185820.15,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-04-28,USDP,Paxos,paxos-standard,11,1.002,0.002,0.002,0,0,0,0,0,1041056795.00,1043138908.59,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-04-29,USDP,Paxos,paxos-standard,11,0.999055,-0.000945,0.000945,0,0,0,0,0,1041056795.00,1040072996.33,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-04-30,USDP,Paxos,paxos-standard,11,0.997606,-0.002394,0.002394,0,0,0,0,0,1041056795.00,1038564505.03,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-01,USDP,Paxos,paxos-standard,11,0.999116,-0.000884,0.000884,0,0,0,0,0,1041056795.00,1040136500.79,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-02,USDP,Paxos,paxos-standard,11,0.998838,-0.001162,0.001162,0,0,0,0,0,1041056795.00,1039847087.00,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-03,USDP,Paxos,paxos-standard,11,0.999197,-0.000803,0.000803,0,0,0,0,0,1046734827.00,1045894298.93,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-04,USDP,Paxos,paxos-standard,11,0.998866,-0.001134,0.001134,0,0,0,0,0,1040793553.00,1039613293.11,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-05,USDP,Paxos,paxos-standard,11,0.999855,-0.000145,0.000145,0,0,0,0,0,1040809484.00,1040658566.62,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-06,USDP,Paxos,paxos-standard,11,0.998743,-0.001257,0.001257,0,0,0,0,0,1041112202.00,1039803523.96,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-07,USDP,Paxos,paxos-standard,11,0.996959,-0.003041,0.003041,0,0,0,0,0,1041112202.00,1037946179.79,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-08,USDP,Paxos,paxos-standard,11,0.99884,-0.00116,0.00116,0,0,0,0,0,1041112202.00,1039904511.85,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-09,USDP,Paxos,paxos-standard,11,1,0,0,0,0,0,0,0,1042301537.00,1042301537.00,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-10,USDP,Paxos,paxos-standard,11,1.003,0.003,0.003,0,0,0,0,0,1040052716.00,1043172874.15,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-11,USDP,Paxos,paxos-standard,11,0.99871,-0.00129,0.00129,0,0,0,0,0,1058571793.00,1057206235.39,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-12,USDP,Paxos,paxos-standard,11,0.999386,-0.000614,0.000614,0,0,0,0,0,1058571793.00,1057921829.92,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-13,USDP,Paxos,paxos-standard,11,0.998733,-0.001267,0.001267,0,0,0,0,0,1058571793.00,1057230582.54,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-14,USDP,Paxos,paxos-standard,11,0.99914,-0.00086,0.00086,0,0,0,0,0,1058571793.00,1057661421.26,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-15,USDP,Paxos,paxos-standard,11,1,0,0,0,0,0,0,0,1058571793.00,1058571793.00,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-16,USDP,Paxos,paxos-standard,11,0.999374,-0.000626,0.000626,0,0,0,0,0,1058571793.00,1057909127.06,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-17,USDP,Paxos,paxos-standard,11,0.999293,-0.000707,0.000707,0,0,0,0,0,1061502734.00,1060752251.57,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-18,USDP,Paxos,paxos-standard,11,0.999673,-0.000327,0.000327,0,0,0,0,0,1053561377.00,1053216862.43,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-19,USDP,Paxos,paxos-standard,11,0.997982,-0.002018,0.002018,0,0,0,0,0,1043561367.00,1041455460.16,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-20,USDP,Paxos,paxos-standard,11,0.999228,-0.000772,0.000772,0,0,0,0,0,1019052716.00,1018266007.30,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-21,USDP,Paxos,paxos-standard,11,0.999182,-0.000818,0.000818,0,0,0,0,0,1019052716.00,1018219130.88,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-22,USDP,Paxos,paxos-standard,11,0.9991,-0.0009,0.0009,0,0,0,0,0,1019052716.00,1018135568.56,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-23,USDP,Paxos,paxos-standard,11,1,0,0,0,0,0,0,0,1019052716.00,1019052716.00,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-24,USDP,Paxos,paxos-standard,11,0.999837,-0.000163,0.000163,0,0,0,0,0,1019052716.00,1018886610.41,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-25,USDP,Paxos,paxos-standard,11,0.996403,-0.003597,0.003597,0,0,0,0,0,1019052716.00,1015387183.38,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-26,USDP,Paxos,paxos-standard,11,0.999122,-0.000878,0.000878,0,0,0,0,0,1019052716.00,1018157987.72,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-27,USDP,Paxos,paxos-standard,11,0.998497,-0.001503,0.001503,0,0,0,0,0,1019052716.00,1017521079.77,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-28,USDP,Paxos,paxos-standard,11,0.998724,-0.001276,0.001276,0,0,0,0,0,1019052716.00,1017752404.73,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-29,USDP,Paxos,paxos-standard,11,0.998288,-0.001712,0.001712,0,0,0,0,0,1019052716.00,1017308097.75,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-30,USDP,Paxos,paxos-standard,11,1.001,0.001,0.001,0,0,0,0,0,1019052716.00,1020071768.72,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-05-31,USDP,Paxos,paxos-standard,11,1,0,0,0,0,0,0,0,1019052716.00,1019052716.00,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-01,USDP,Paxos,paxos-standard,11,0.999045,-0.000955,0.000955,0,0,0,0,0,1027011081.00,1026030285.42,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-02,USDP,Paxos,paxos-standard,11,0.997859,-0.002141,0.002141,0,0,0,0,0,1016552716.00,1014376276.64,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-03,USDP,Paxos,paxos-standard,11,1,0,0,0,0,0,0,0,1006573587.00,1006573587.00,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-04,USDP,Paxos,paxos-standard,11,0.999852,-0.000148,0.000148,0,0,0,0,0,1006573587.00,1006424614.11,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-05,USDP,Paxos,paxos-standard,11,0.99951,-0.00049,0.00049,0,0,0,0,0,1006573587.00,1006080365.94,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-06,USDP,Paxos,paxos-standard,11,0.999293,-0.000707,0.000707,0,0,0,0,0,1006573587.00,1005861939.47,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-07,USDP,Paxos,paxos-standard,11,0.998204,-0.001796,0.001796,0,0,0,0,0,1006573587.00,1004765780.84,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-08,USDP,Paxos,paxos-standard,11,1.001,0.001,0.001,0,0,0,0,0,1006573587.00,1007580160.59,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-09,USDP,Paxos,paxos-standard,11,0.999842,-0.000158,0.000158,0,0,0,0,0,1006573587.00,1006414548.37,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-10,USDP,Paxos,paxos-standard,11,0.999674,-0.000326,0.000326,0,0,0,0,0,1006573587.00,1006245444.01,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-11,USDP,Paxos,paxos-standard,11,0.998446,-0.001554,0.001554,0,0,0,0,0,1006573587.00,1005009371.65,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-12,USDP,Paxos,paxos-standard,11,0.997935,-0.002065,0.002065,0,0,0,0,0,1006573587.00,1004495012.54,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-13,USDP,Paxos,paxos-standard,11,0.999814,-0.000186,0.000186,0,0,0,0,0,1006573587.00,1006386364.31,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-14,USDP,Paxos,paxos-standard,11,0.999521,-0.000479,0.000479,0,0,0,0,0,1006573587.00,1006091438.25,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-15,USDP,Paxos,paxos-standard,11,0.999805,-0.000195,0.000195,0,0,0,0,0,1007269397.00,1007072979.47,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
