model_run_id,model_family,sample_id,rqi_profile,outcome,n,k,rule_version,rule_status,provisional_flag,provisional_reason,start_date,end_date,y_mean,y_sd,r2,adj_r2,status
absdev_stress_interaction__bank_cash_070__stress_rows_diagnostic,absdev_stress_interaction,stress_rows_diagnostic,bank_cash_070,abs_peg_dev_bps,26,6,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-11-06,2023-03-20,28.82181923076923,76.21352596068506,0.20156478536206968,0.0019559817025870396,estimated
absdev_rqi_dii__bank_cash_070__exclude_100bp_tail_days,absdev_rqi_dii,exclude_100bp_tail_days,bank_cash_070,abs_peg_dev_bps,825,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,5.607141575757575,9.333220934644345,0.11120077172644238,0.10358560085996149,estimated
tail50_rqi_dii_lpm__bank_cash_070__exclude_100bp_tail_days,tail50_rqi_dii_lpm,exclude_100bp_tail_days,bank_cash_070,tail_depeg_50bp_pct,825,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,0.8484848484848485,9.177726084129787,0.016040561783734364,0.0076100647610736205,estimated
absdev_stress_interaction__bank_cash_070__exclude_100bp_tail_days,absdev_stress_interaction,exclude_100bp_tail_days,bank_cash_070,abs_peg_dev_bps,825,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,5.607141575757575,9.333220934644345,0.16863032267029698,0.15944955322739218,estimated
absdev_rqi_dii__bank_cash_090__all_rows_with_variant,absdev_rqi_dii,all_rows_with_variant,bank_cash_090,abs_peg_dev_bps,826,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,6.071721307506053,16.28749767642561,0.08958707642222985,0.08179625678281122,estimated
tail50_rqi_dii_lpm__bank_cash_090__all_rows_with_variant,tail50_rqi_dii_lpm,all_rows_with_variant,bank_cash_090,tail_depeg_50bp_pct,826,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,0.9685230024213075,9.799516475274034,0.01958442426986784,0.011194559929878944,estimated
absdev_stress_interaction__bank_cash_090__all_rows_with_variant,absdev_stress_interaction,all_rows_with_variant,bank_cash_090,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,6.071721307506053,16.28749767642561,0.19301697119330163,0.18411642308146314,estimated
absdev_rqi_dii__bank_cash_090__rqi_available,absdev_rqi_dii,rqi_available,bank_cash_090,abs_peg_dev_bps,826,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,6.071721307506053,16.28749767642561,0.08958707642222985,0.08179625678281122,estimated
tail50_rqi_dii_lpm__bank_cash_090__rqi_available,tail50_rqi_dii_lpm,rqi_available,bank_cash_090,tail_depeg_50bp_pct,826,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,0.9685230024213075,9.799516475274034,0.01958442426986784,0.011194559929878944,estimated
absdev_stress_interaction__bank_cash_090__rqi_available,absdev_stress_interaction,rqi_available,bank_cash_090,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,6.071721307506053,16.28749767642561,0.19301697119330163,0.18411642308146314,estimated
