model_run_id,model_family,sample_id,rqi_profile,outcome,n,k,rule_version,rule_status,provisional_flag,provisional_reason,term,coef,hac_se_lag7,t_stat,p_value,r2,adj_r2,status
absdev_stress_interaction__primary_path_b__rqi_available,absdev_stress_interaction,rqi_available,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,stale_disclosure_45d,0.12662013814168555,1.43760972668501,0.0880768513118365,0.9298372049140387,0.1940863480264604,0.18519759451204632,estimated
absdev_stress_interaction__primary_path_b__rqi_available,absdev_stress_interaction,rqi_available,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,log_supply,-11.64426965827819,3.317975886328165,-3.5094497540680774,0.000473627047408387,0.1940863480264604,0.18519759451204632,estimated
absdev_stress_interaction__primary_path_b__rqi_available,absdev_stress_interaction,rqi_available,primary_path_b,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,trend_years,3.1784834000140396,0.7957847247273424,3.9941498011325547,7.078957122796936e-05,0.1940863480264604,0.18519759451204632,estimated
absdev_rqi_dii__primary_path_b__manual_review_free,absdev_rqi_dii,manual_review_free,primary_path_b,abs_peg_dev_bps,190,6,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,Intercept,-42.55995187189764,75.26911200498861,-0.5654371459713367,0.5724652939993871,0.19298614571954187,0.17105642141844246,estimated
absdev_rqi_dii__primary_path_b__manual_review_free,absdev_rqi_dii,manual_review_free,primary_path_b,abs_peg_dev_bps,190,6,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,rqi_primary_path_b_10pp,-0.6948185611298046,1.8961040678730585,-0.3664453723308618,0.7144537887088394,0.19298614571954187,0.17105642141844246,estimated
absdev_rqi_dii__primary_path_b__manual_review_free,absdev_rqi_dii,manual_review_free,primary_path_b,abs_peg_dev_bps,190,6,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,days_since_disclosure_30d,-0.45889255380140453,0.19951188490046148,-2.300076278815925,0.02256605912796328,0.19298614571954187,0.17105642141844246,estimated
absdev_rqi_dii__primary_path_b__manual_review_free,absdev_rqi_dii,manual_review_free,primary_path_b,abs_peg_dev_bps,190,6,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,market_stress_flag,2.381734948987083,0.9311340321307203,2.5578862621280662,0.011336786568828305,0.19298614571954187,0.17105642141844246,estimated
absdev_rqi_dii__primary_path_b__manual_review_free,absdev_rqi_dii,manual_review_free,primary_path_b,abs_peg_dev_bps,190,6,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,log_supply,1.9749840878942504,2.4851399053448633,0.7947174658644345,0.42780173370098007,0.19298614571954187,0.17105642141844246,estimated
absdev_rqi_dii__primary_path_b__manual_review_free,absdev_rqi_dii,manual_review_free,primary_path_b,abs_peg_dev_bps,190,6,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,trend_years,1.4721146113196513,1.2299648931644669,1.1968753088002202,0.23289495931904636,0.19298614571954187,0.17105642141844246,estimated
tail50_rqi_dii_lpm__primary_path_b__manual_review_free,tail50_rqi_dii_lpm,manual_review_free,primary_path_b,tail_depeg_50bp_pct,190,6,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,Intercept,0.0,0.0,,,,,estimated
tail50_rqi_dii_lpm__primary_path_b__manual_review_free,tail50_rqi_dii_lpm,manual_review_free,primary_path_b,tail_depeg_50bp_pct,190,6,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,rqi_primary_path_b_10pp,0.0,0.0,,,,,estimated
tail50_rqi_dii_lpm__primary_path_b__manual_review_free,tail50_rqi_dii_lpm,manual_review_free,primary_path_b,tail_depeg_50bp_pct,190,6,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,days_since_disclosure_30d,0.0,0.0,,,,,estimated
tail50_rqi_dii_lpm__primary_path_b__manual_review_free,tail50_rqi_dii_lpm,manual_review_free,primary_path_b,tail_depeg_50bp_pct,190,6,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,market_stress_flag,0.0,0.0,,,,,estimated
